😀	grinning face smile happy
😃	grinning face big eyes smile happy
😄	grinning face smiling eyes happy laugh
😁	beaming face smiling eyes grin
😆	grinning squinting face laugh haha
😅	grinning face sweat relief phew
🤣	rolling on the floor laughing rofl
😂	face with tears of joy lol laugh
🙂	slightly smiling face
😉	winking face wink
😊	smiling face with smiling eyes blush
😍	smiling face heart eyes love
🥰	smiling face with hearts love adore
😘	face blowing a kiss
😋	face savoring food yum tasty
😜	winking face with tongue silly
🤪	zany face crazy wild
🤔	thinking face hmm think
🤨	face with raised eyebrow skeptical
😐	neutral face meh
😑	expressionless face blank
🙄	face with rolling eyes
😏	smirking face smirk
😒	unamused face annoyed
😞	disappointed face sad
😔	pensive face sad
😟	worried face concern
😕	confused face
🙁	slightly frowning face sad
😣	persevering face struggle
😖	confounded face frustrated
😫	tired face exhausted
😩	weary face tired
🥺	pleading face puppy eyes please
😢	crying face sad tear
😭	loudly crying face sob bawl
😤	face with steam from nose frustrated huff
😠	angry face mad
😡	pouting face rage furious
🤬	face with symbols on mouth swearing curse
🤯	exploding head mind blown
😳	flushed face embarrassed blush
🥵	hot face heat sweating
🥶	cold face freezing ice
😱	face screaming in fear scream shock
😨	fearful face scared
😰	anxious face with sweat nervous
😥	sad but relieved face
🤗	smiling face with open hands hug
🤭	face with hand over mouth oops giggle
🤫	shushing face quiet secret
🤥	lying face pinocchio liar
😶	face without mouth speechless
😬	grimacing face awkward
😮	face with open mouth surprised wow
😲	astonished face shocked
🥱	yawning face tired bored
😴	sleeping face zzz sleep
🤤	drooling face
😪	sleepy face
😷	face with medical mask sick
🤒	face with thermometer sick fever
🤕	face with head bandage injured
🤢	nauseated face sick green
🤮	face vomiting sick throw up
🤧	sneezing face sick achoo
😇	smiling face with halo angel innocent
🥳	partying face celebration party
🥸	disguised face glasses mustache
😎	smiling face with sunglasses cool
🤓	nerd face glasses geek
🧐	face with monocle inspect
😈	smiling face with horns devil evil
👿	angry face with horns imp devil
💀	skull death dead
☠️	skull and crossbones danger poison
👻	ghost boo halloween
👽	alien extraterrestrial ufo
🤖	robot bot machine
💩	pile of poo poop
🤡	clown face joker
👋	waving hand wave hello goodbye
🤚	raised back of hand
✋	raised hand stop high five
🖖	vulcan salute spock
👌	ok hand okay perfect
🤌	pinched fingers italian chef
✌️	victory hand peace
🤞	crossed fingers luck hope
🤟	love-you gesture rock
🤘	sign of the horns rock metal
🤙	call me hand shaka
👈	backhand index pointing left
👉	backhand index pointing right
👆	backhand index pointing up
👇	backhand index pointing down
☝️	index pointing up
👍	thumbs up like yes approve
👎	thumbs down dislike no
✊	raised fist power
👊	oncoming fist punch bro
🤛	left-facing fist bump
🤜	right-facing fist bump
👏	clapping hands applause clap
🙌	raising hands celebration hooray
👐	open hands
🤲	palms up together prayer
🤝	handshake deal agreement
🙏	folded hands please thanks prayer
💪	flexed biceps muscle strong
✍️	writing hand write
💅	nail polish sassy
🤳	selfie
👀	eyes look see watching
👁️	eye look
🧠	brain smart mind
🦴	bone
🦷	tooth dentist
👅	tongue taste
👄	mouth lips
💋	kiss mark lipstick
❤️	red heart love
🧡	orange heart
💛	yellow heart
💚	green heart
💙	blue heart
💜	purple heart
🖤	black heart
🤍	white heart
🤎	brown heart
💔	broken heart heartbreak
❣️	heart exclamation
💕	two hearts love
💞	revolving hearts
💓	beating heart
💗	growing heart
💖	sparkling heart
💘	heart with arrow cupid
💝	heart with ribbon gift
💟	heart decoration
💯	hundred points perfect score
💢	anger symbol
💥	collision boom explosion
💫	dizzy stars
💦	sweat droplets water splash
💨	dashing away wind fast
🕳️	hole
💬	speech balloon chat
💭	thought balloon thinking
💤	zzz sleep
🌋	volcano eruption
🌊	water wave ocean sea
🔥	fire flame hot lit
✨	sparkles shiny magic
🌟	glowing star
⭐	star
🌙	crescent moon night
☀️	sun sunny
⛅	sun behind cloud
🌧️	cloud with rain
⛈️	cloud with lightning and rain storm
🌩️	cloud with lightning
❄️	snowflake snow cold winter
☃️	snowman snow winter
🌈	rainbow pride
🌸	cherry blossom flower spring
🌹	rose flower
🌻	sunflower
🌲	evergreen tree pine
🌴	palm tree tropical
🍀	four leaf clover luck
🍁	maple leaf autumn fall
🍄	mushroom fungus
🌍	globe europe africa earth world
🚀	rocket launch space ship
